timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1657374766977,1192,login,200,OK,Grupo de Usuários 1-1,text,true,,0,0,2,2,http://www.host.corp/auth,22,0,1
1657374768305,2376,login,200,OK,Grupo de Usuários 1-3,text,true,,0,0,6,6,http://www.host.corp/auth,13,0,1
1657374768171,5067,balance,200,OK,Grupo de Usuários 1-1,text,true,,0,0,10,10,http://www.host.corp/balance,9,0,4
1657374767639,6371,login,200,OK,Grupo de Usuários 1-2,text,true,,0,0,11,11,http://www.host.corp/auth,4,0,1
1657374770972,4235,login,200,OK,Grupo de Usuários 1-7,text,true,,0,0,13,13,http://www.host.corp/auth,17,0,1
1657374771641,3644,login,200,OK,Grupo de Usuários 1-8,text,true,,0,0,13,13,http://www.host.corp/auth,48,0,2
1657374773641,1717,login,200,OK,Grupo de Usuários 1-11,text,true,,0,0,13,13,http://www.host.corp/auth,39,0,2
1657374773237,2152,login,200,OK,Grupo de Usuários 1-1,text,true,,0,0,13,13,http://www.host.corp/auth,50,0,2
1657374770682,4822,balance,200,OK,Grupo de Usuários 1-3,text,true,,0,0,13,13,http://www.host.corp/balance,17,0,4
1657374772307,3705,login,200,OK,Grupo de Usuários 1-9,text,true,,0,0,14,14,http://www.host.corp/auth,48,0,4
1657374769640,6429,login,200,OK,Grupo de Usuários 1-5,text,true,,0,0,14,14,http://www.host.corp/auth,30,0,4
1657374774974,1409,login,200,OK,Grupo de Usuários 1-13,text,true,,0,0,15,15,http://www.host.corp/auth,35,0,3
1657374768972,7450,login,200,OK,Grupo de Usuários 1-4,text,true,,0,0,15,15,http://www.host.corp/auth,5,0,1
1657374775284,1211,balance,200,OK,Grupo de Usuários 1-8,text,true,,0,0,15,15,http://www.host.corp/balance,9,0,2
1657374770305,6668,login,200,OK,Grupo de Usuários 1-6,text,true,,0,0,15,15,http://www.host.corp/auth,44,0,2
1657374775359,1616,balance,200,OK,Grupo de Usuários 1-11,text,true,,0,0,16,16,http://www.host.corp/balance,31,0,2
1657374776496,707,login,200,OK,Grupo de Usuários 1-8,text,true,,0,0,16,16,http://www.host.corp/auth,13,0,5
1657374775642,2067,login,200,OK,Grupo de Usuários 1-14,text,true,,0,0,17,17,http://www.host.corp/auth,30,0,1
1657374776068,2007,balance,200,OK,Grupo de Usuários 1-5,text,true,,0,0,17,17,http://www.host.corp/balance,1,0,5
